都道府県	宿泊者数	観光目的宿泊者数
北海道	42,017,930 	22,538,200
青森県	4,589,350 	1,526,450
岩手県	5,653,280 	2,213,270
宮城県	9,958,370 	3,106,240
秋田県	2,989,750 	1,168,880
山形県	4,870,480 	2,141,310
福島県	10,018,860 	4,627,590
茨城県	6,810,090 	1,531,550
栃木県	11,984,760 	7,585,170
群馬県	9,036,510 	5,384,880
埼玉県	5,682,350 	1,044,230
千葉県	28,038,600 	17,363,910
東京都	110,977,440 	48,720,520
神奈川県	25,300,190 	11,556,560
新潟県	10,272,360 	4,798,460
富山県	3,677,270 	1,146,110
石川県	11,867,430 	6,235,160
福井県	3,537,960 	1,467,110
山梨県	9,114,580 	6,553,910
長野県	18,670,760 	11,636,700
岐阜県	8,704,550 	5,879,440
静岡県	22,546,760 	11,363,130
愛知県	21,507,640 	5,567,070
三重県	8,692,170 	4,176,730
滋賀県	4,770,630 	2,510,110
京都府	33,168,590 	23,774,520
大阪府	56,455,300 	26,402,310
兵庫県	16,502,590 	7,853,010
奈良県	2,808,290 	2,226,320
和歌山県	4,861,590 	3,109,820
鳥取県	2,937,590 	1,027,490
島根県	3,482,080 	1,385,350
岡山県	5,895,950 	1,001,170
広島県	12,167,130 	3,315,030
山口県	3,633,980 	1,377,080
徳島県	2,615,700 	865,050
香川県	4,593,270 	1,977,840
愛媛県	4,395,490 	1,332,450
高知県	2,664,680 	1,132,650
福岡県	23,162,710 	6,755,480
佐賀県	2,291,450 	921,410
長崎県	7,431,870 	3,608,490
熊本県	7,972,060 	3,210,880
大分県	8,385,900 	4,037,790
宮崎県	3,586,270 	1,251,740
鹿児島県	8,032,490 	2,991,040
沖縄県	31,940,360 	20,928,820
